Birth Prob,State Index,Final Index,Pk,Prob,Merge Count,Last Pk
0.001516300227445,104,801.0,104,0.0018953752843063,1,801.0
0.001516300227445,21,21.0,21,0.0064442759666414,1,21.0
0.001516300227445,15,15.0,15,0.0068233510235026,1,15.0
0.001516300227445,121,592.0,121,0.0018953752843063,1,592.0
0.001516300227445,49,49.0,49,0.0045489006823351,1,49.0
0.001516300227445,134,457.0,134,0.0018953752843063,1,457.0
0.001516300227445,136,222.0,136,0.0022744503411675,1,222.0
0.001516300227445,74,74.0,74,0.0037907505686126004,1,74.0
0.0011372251705838,151,336.0,151,0.0018953752843063002,1,336.0
0.0011372251705838,155,303.0,155,0.0018953752843063002,1,303.0
0.0011372251705838,49,49.0,49,0.0056861258529189,1,49.0
0.0015163002274451,161,549.0,161,0.0030326004548902,2,549.0
0.0011372251705838,168,187.0,168,0.0022744503411676,1,187.0
0.0011372251705838,15,15.0,15,0.0079605761940864,1,15.0
0.0011372251705838,101,101.0,101,0.0030326004548901003,1,101.0
0.0015163002274451,192,936.0,192,0.0030326004548902,2,936.0
0.0011372251705838,195,288.0,195,0.0018953752843063002,1,288.0
0.0015163002274451,206,691.0,206,0.0030326004548902,2,691.0
0.0011372251705838,0,0.0,0,0.0284306292645944,1,0.0
0.001516300227445,224,323.0,224,0.00303260045489,2,323.0
0.001516300227445,225,361.0,225,0.00303260045489,2,361.0
0.0011372251705838,226,1062.0,226,0.0022744503411676,2,1062.0
0.001516300227445,237,242.0,237,0.00303260045489,2,242.0
0.001516300227445,238,338.0,238,0.00303260045489,2,338.0
0.0007581501137225,242,242.0,242,0.0037907505686125002,1,242.0
0.0007581501137225,1062,1062.0,1062,0.0030326004548901003,1,1062.0
0.0007581501137225,801,801.0,801,0.0026535253980288,1,801.0
0.0007581501137225,136,136.0,136,0.00303260045489,1,136.0
0.0011372251705838,258,989.0,258,0.0022744503411676,2,989.0
0.0007581501137225,131,131.0,131,0.0053070507960576,1,131.0
0.0011372251705838,268,876.0,268,0.0022744503411676,2,876.0
0.0007581501137225,100,100.0,100,0.0026535253980288,1,100.0
0.0011372251705838,279,814.0,279,0.0022744503411676,2,814.0
0.0011372251705838,286,834.0,286,0.0022744503411676,2,834.0
0.0011372251705838,289,579.0,289,0.0022744503411676,2,579.0
0.0007581501137225,192,192.0,192,0.0037907505686127,1,192.0
0.001516300227445,294,316.0,294,0.00303260045489,2,316.0
0.0011372251705838,295,620.0,295,0.0022744503411676,2,620.0
0.0007581501137225,134,134.0,134,0.0026535253980288,1,134.0
0.0007581501137225,9,9.0,9,0.009476876421531399,1,9.0
0.0011372251705838,328,986.0,328,0.0022744503411676,2,986.0
0.0007581501137225,21,21.0,21,0.0072024260803639,1,21.0
0.0011372251705838,334,1137.0,334,0.0022744503411676,2,1137.0
0.0011372251705838,335,858.0,335,0.0022744503411676,2,858.0
0.0011372251705838,344,415.0,344,0.0022744503411676,2,415.0
0.0011372251705838,345,772.0,345,0.0022744503411676,2,772.0
0.0007581501137225,15,15.0,15,0.0087187263078089,1,15.0
0.0011372251705838,349,762.0,349,0.0022744503411676,2,762.0
0.0007581501137225,21,21.0,21,0.0079605761940864,1,21.0
0.0007581501137225,58,58.0,58,0.0034116755117513,1,58.0
0.0007581501137225,21,21.0,21,0.0087187263078089,1,21.0
0.0011372251705838,359,1012.0,359,0.0022744503411676,2,1012.0
0.0011372251705838,362,467.0,362,0.0022744503411676,2,467.0
0.0011372251705838,365,542.0,365,0.0022744503411676,2,542.0
0.0011372251705838,369,483.0,369,0.0022744503411676,2,483.0
0.0007581501137225,131,131.0,131,0.0060652009097801,1,131.0
0.0007581501137225,9,9.0,9,0.010235026535253898,1,9.0
0.0011372251705838,377,1123.0,377,0.0022744503411676,2,1123.0
0.0015163002274452,383,469.0,383,0.0030326004548904,3,469.0
0.0015163002274452,384,804.0,384,0.0030326004548904,3,804.0
0.0015163002274452,385,1076.0,385,0.0030326004548904,3,1076.0
0.0015163002274452,388,537.0,388,0.0030326004548904,3,537.0
0.0015163002274452,390,392.0,390,0.0030326004548904,3,392.0
0.0015163002274452,394,651.0,394,0.0030326004548904,3,651.0
0.0015163002274452,395,1003.0,395,0.0030326004548904,3,1003.0
0.0015163002274452,396,758.0,396,0.0030326004548904,3,758.0
0.0015163002274452,397,440.0,397,0.0030326004548904,3,440.0
0.0003790750568613,100,100.0,100,0.0030326004548901,1,100.0
0.0003790750568613,469,469.0,469,0.0034116755117517,1,469.0
0.0003790750568613,95,95.0,95,0.0022744503411676,1,95.0
0.0003790750568613,49,49.0,49,0.0060652009097802,1,49.0
0.0015163002274452,407,896.0,407,0.0030326004548904,3,896.0
0.0003790750568613,0,0.0,0,0.0288097043214557,1,0.0
0.0003790750568613,286,286.0,286,0.0026535253980289,1,286.0
0.0015163002274452,411,861.0,411,0.0030326004548904,3,861.0
0.0003790750568613,323,323.0,323,0.0034116755117513,1,323.0
0.0015163002274452,419,946.0,419,0.0030326004548904,3,946.0
0.0015163002274452,423,944.0,423,0.0030326004548904,3,944.0
0.0003790750568613,183,183.0,183,0.0034116755117514002,1,183.0
0.0015163002274452,425,1125.0,425,0.0030326004548904,3,1125.0
0.0015163002274452,427,581.0,427,0.0030326004548904,3,581.0
0.0003790750568613,371,371.0,371,0.0064442759666414,1,371.0
0.0003790750568613,936,936.0,936,0.0034116755117515,1,936.0
0.0015163002274452,431,729.0,431,0.0030326004548904,3,729.0
0.0015163002274452,435,807.0,435,0.0030326004548904,3,807.0
0.0003790750568613,222,222.0,222,0.0026535253980288,1,222.0
